,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
1319,E(c),91.459,27.871,2019,12.59,3832,0,other,0,4.603445670776455
1320,E(o),91.495,27.86,2019,10.51,3913,0,other,0,11.671160242095821
1321,M(o),91.511,27.996,2019,12.13,5319,0,moraine,0,39.49218218103164
1322,E(o),91.577,27.912,2019,13.64,4628,0,other,0,77.76450478761113
1323,E(o),91.62,27.901,2019,14.82,4938,0,other,0,18.01858415811814
1324,E(c),91.535,27.898,2019,27.53,4430,0,other,0,28.49111576372056
1325,E(c),91.649,27.893,2019,24.45,4819,0,other,0,36.752053086025185
1326,E(c),91.596,27.888,2019,16.69,4626,0,other,0,48.32632994831382
1327,E(c),91.517,27.878,2019,32.71,4248,0,other,0,10.55529176421209
1328,E(o),91.717,27.877,2019,18.45,4533,0,other,0,5.159332582256303
1329,E(o),91.634,27.877,2019,44.48,4480,0,other,0,36.91081493063968
1330,E(o),91.671,27.869,2019,45.27,4054,0,other,0,25.47671631427891
1331,E(o),91.629,27.861,2019,10.38,4581,0,other,0,36.91081493063968
1332,E(c),91.5,27.854,2019,31.88,4049,0,other,0,11.671160242095821
1333,E(c),91.604,27.851,2019,31.4,4509,0,other,0,34.4594640947642
1334,E(c),91.583,27.847,2019,49.42,4656,0,other,0,34.4594640947642
1335,E(o),91.565,27.841,2019,16.27,4558,0,other,0,39.62549015016138
1336,O,91.605,27.838,2019,66.35,4125,0,other,0,34.4594640947642
1337,E(c),91.553,27.834,2019,67.23,4521,0,other,0,39.62549015016138
1338,E(c),91.559,27.824,2019,10.93,4674,0,other,0,39.62549015016138
1339,E(c),91.595,27.815,2019,14.2,4678,0,other,0,9.212342446457127
1340,E(c),91.501,27.811,2019,17.12,4213,0,other,0,3.4942737833462756
1341,E(c),91.549,27.809,2019,19.04,4297,0,other,0,31.2876867897617
1342,E(o),91.59,27.806,2019,13.8,4406,0,other,0,9.212342446457127
1343,E(c),91.643,27.802,2019,12.24,4504,0,other,0,2.065151182720117
1344,E(o),91.579,27.801,2019,19.76,4617,0,other,0,8.18288335864064
1345,E(c),91.593,27.798,2019,16.43,4066,0,other,0,8.18288335864064
1346,E(o),91.65,27.757,2019,16.67,4152,0,other,0,5.325096473614211
1347,E(o),91.529,27.756,2019,15.81,3868,0,other,0,6.277840388516781
1348,E(o),91.634,27.702,2019,16.42,4319,0,other,0,11.606149321159648
1349,O,91.952,27.992,2019,40.89,4354,0,other,0,15.541660597142766
1350,O,91.896,27.901,2019,217.48,4452,0,other,0,201.33769413062117
1351,E(o),91.833,27.874,2019,10.26,4340,0,other,0,3.4927294464257415
1352,E(o),91.948,27.849,2019,19.9,4630,0,other,0,11.90981319235478
1353,O,91.892,27.841,2019,145.65,4638,0,other,0,132.0490615546564
1354,E(o),91.925,27.796,2019,22.77,4499,0,other,0,8.897893585345312
1355,E(c),91.838,27.795,2019,19.81,4667,0,other,0,13.26622017016386
