ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
148,Southern Andes,Patagonia,Chile,RGI60-17.08598,RGI60-17.08598,0.09,Estero El Pedregoso,moraine,-72.42,-46.47,,,1985,1987,,,,,,,,,,,,,,"The outburst produced a debris flow that stripped vegetation along a ~3.6km path. Event occurred far from populated areas, no damage reported. ",,,,,,,,,a,,,"Original lake surface of 0.12 km2reduced to 0.09 km2 . The outburst produced a debris flow that stripped vegetation along a ~3.6 km path. Event occurred far from populated areas, no damage reported.",2011,"Iribarren Anacona. P., Ruiz, L. (2011). Amenazas geomorfológicas asociadas con variaciones recientes de glaciares en los Andes de Chile y Argentina. Eventos históricos y perspectivas futuras. In Actas del XVIII Congreso Geológico Argentino, 1280–1281. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.Iribarren Anacona. P., Ruiz, L. (2011). Amenazas geomorfológicas asociadas con variaciones recientes de glaciares en los Andes de Chile y Argentina. Eventos históricos y perspectivas futuras. In Actas del XVIII Congreso Geológico Argentino, 1280–1281. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,106325,1335,1985-03-07,Landsat 5,1985-03-07-00_00_1985-03-07-23_59_Landsat_4-5_TM_L2_False_color,2,89459,1611,1986-03-10,Landsat 5,1986-03-10-00_00_1986-03-10-23_59_Landsat_4-5_TM_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
149,Southern Andes,Patagonia,Chile,RGI60-17.09232,RGI60-17.09232,26.71,Monte Erasmo,moraine,-73.23,-46.14,,,1985,2000,,,,,,,,,,,,,,The outburst flood stripped vegetation patches along a ~6km path.,,,,,,,,,a,,,"The outburst flood stripped vegetation patches along a ~6 km path. However, the lake surface (0.65 km2 ) was not reduced significantly.",2011,"Iribarren Anacona. P., Ruiz, L. (2011). Amenazas geomorfológicas asociadas con variaciones recientes de glaciares en los Andes de Chile y Argentina. Eventos históricos y perspectivas futuras. In Actas del XVIII Congreso Geológico Argentino, 1280–1281. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1985-02-14,,,,,,,,35.00,,,unknown,284.00,,,unknown,"In the 1985 event, no damages or casualties were reported.",,,,,,,,,,,,,1986,"Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. CITED IN Iribarren Anacona et al. (2015): Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andest, EPSL, 40, 2-21.; Correas-Gonzalez, M., Moreiras, S., Jomelli, V., & Arnaud-Fassetta, G. (2020). Ice-dammed lake outburst flood risk in the Plomo basin, Central Andes (33º S): Perspectives from historical events. Cuadernos de Investigación Geográfica, 46(1), 223-249.",,1681804,6968,1985-01-25,Landsat 5,LT05_233083_19850125,2,0,0,,,,1,after image in 1986; one of three outbursts in this month – date range covers all,,,,,,,,,,,,,,,,,,,,
151,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1985-02-22,,,,,,,,21.00,,,unknown,277.00,,,unknown,"In the 1985 event, no damages or casualties were reported.",,,,,,,,,,,,,1986,"Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. CITED IN Iribarren Anacona et al. (2015): Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andest, EPSL, 40, 2-21.; Correas-Gonzalez, M., Moreiras, S., Jomelli, V., & Arnaud-Fassetta, G. (2020). Ice-dammed lake outburst flood risk in the Plomo basin, Central Andes (33º S): Perspectives from historical events. Cuadernos de Investigación Geográfica, 46(1), 223-249.",,,,,,,,,,,,,,one of three outbursts in this month,,,,,,,,,,,,,,,,,,,,
152,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1985-03-13,,,,,,,,20.00,,,unknown,184.00,,,unknown,"In the 1985 event, no damages or casualties were reported.",,,,,,,,,,,,,1986,"Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. CITED IN Iribarren Anacona et al. (2015): Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andest, EPSL, 40, 2-21.; Correas-Gonzalez, M., Moreiras, S., Jomelli, V., & Arnaud-Fassetta, G. (2020). Ice-dammed lake outburst flood risk in the Plomo basin, Central Andes (33º S): Perspectives from historical events. Cuadernos de Investigación Geográfica, 46(1), 223-249.",,,,,,,,,,,,,,one of three outbursts in this month,,,,,,,,,,,,,,,,,,,,
153,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02716,﻿RGI60-16.02716,"﻿0,428",,moraine,-75.47,-12.64,,,,1985,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02535,﻿RGI60-16.02535,"﻿0,983",,moraine,-77.64,-8.86,,,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01969,﻿RGI60-16.01969,"﻿0,443",,moraine,-77.25,-9.94,,,,1985,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01917,RGI60-16.01917,1.84,Caramarca,moraine,-76.93,-10.29,,,,1985,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2020,"Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Southern Andes,Patagonia,Chile,RGI60-17.08524,RGI60-17.08524,0.49,,moraine,-72.84,-46.53,,,,1985-03-07,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Southern Andes,Patagonia,Chile,RGI60-17.08529,RGI60-17.08529,0.73,,moraine,-72.42,-46.52,,,,1985-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Southern Andes,C Andes,Chile,RGI60-17.10150,RGI60-17.10150,3.33,,moraine,-72.39,-44.44,,,,1985-03-07,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Southern Andes,C Andes,Argentina,RGI60-17.11765,RGI60-17.11765,7.80,,moraine,-71.92,-42.42,,,,1985-03-07,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Southern Andes,Patagonia,Chile,RGI60-17.08672,RGI60-17.08672,1.48,,moraine,-72.52,-46.43,,,1985-03-07,2000-03-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Southern Andes,Patagonia,Chile,RGI60-17.09197,RGI60-17.09220,0.99,,moraine,-72.41,-46.08,,,1985-03-07,2000-03-08,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Southern Andes,C Andes,Chile,RGI60-17.10382,RGI60-17.10382,0.86,,moraine,-72.11,-43.95,,,1985-03-07,2000-02-21,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Low Latitudes,C Andes,Chile,Gl. Del río Seco de los Tronquitos,RGI60-17.15038,3.14,,subglacial,-69.74,-28.55,Manflas,1985-05-14,,,breach (?) violent failure of one of the subglacial lake walls,,,,,,,,,,,,,,,,,,,,,,,,,The GLOF generated a debris flow whose volume was estimated at 5 Hm3,1987,"Peña Torrealba, H. (1987). Análisis del Aluvión de Mayo de 1985 del río Manflas: cuenca del río Copiapó.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Southern Andes,Patagonia,Chile,Gl. San Rafael,RGI60-17.15808,721.95,,supraglacial,-73.83,-46.70,,1985-12-16,,,,0.00,,,unknown,0.00,,,unknown,,,,,The floods stripped vegetation patches about 3.8km from the lake.,,,,,,,,,a,,,,1985,"Ohata, T. (1985). Characteristics of ablation at San Rafael Glacier. Glaciological Studies in Patagonia Northern Icefield, 1983-1984, 37-45. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Southern Andes,Patagonia,Argentina,RGI60-17.05072,RGI60-17.05072,0.84,,moraine,-73.01,-49.41,,,,1986-01-14,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Southern Andes,C Andes,Argentina,RGI60-17.13005,RGI60-17.13005,0.04,,moraine,-70.45,-36.85,,,,1986-03-26,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00441,﻿RGI60-16.00441,"﻿0,169",,bedrock,-72.22,-13.00,,,1986-08-04,1986-10-07,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Southern Andes,Patagonia,Chile,RGI60-17.00122,RGI60-17.00122,1.36,,moraine,-72.96,-50.95,,1986,,1986-12-09,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,137770,2285,1986-01-07,Landsat 5,LT05_230096_19860107,2,121055,1850,1986-10-22,Landsat 5,LT05_230096_19861022,2,,,,,,,,,,,,,,,,,,,,,
170,Southern Andes,Patagonia,Argentina,RGI60-17.00412,RGI60-17.00412,0.61,,moraine,-73.09,-49.81,,,1986-12-09,2001-03-12,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Southern Andes,Patagonia,Chile,RGI60-17.07059,RGI60-17.07059,0.98,Estero Las Lenguas,moraine,-72.89,-47.72,,,1987,1998,,,,,,,,,,,,,,,,,,,,,,,,,,"Original lake surface of 0.67 km2reduced to 0.44 km2 . The outburst produced a debris flow that stripped vegetation along a ~7.2 km path. Event occurred far from populated areas, no damage reported.",2011,"Iribarren Anacona. P., Ruiz, L. (2011). Amenazas geomorfológicas asociadas con variaciones recientes de glaciares en los Andes de Chile y Argentina. Eventos históricos y perspectivas futuras. In Actas del XVIII Congreso Geológico Argentino, 1280–1281. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,664605,,1987-02-09,Landsat 5,1987-02-09-00_00_1987-02-09-23_59_Landsat_4-5_TM_L2_False_color,2,397558,,1999-02-10,Landsat 5,1999-02-10-00_00_1999-02-10-23_59_Landsat_4-5_TM_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
173,Southern Andes,Patagonia,Chile,Steffen Glacier,RGI60-17.15897,428.51,Gl. Steffen NW Lake,ice,-73.79,-47.40,,1990,1987,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,"Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Southern Andes,Patagonia,Chile,RGI60-17.07528,RGI60-17.07528,4.33,,moraine,-73.42,-47.50,,,,1987-02-09,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,1988,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,1994,"Warren, C. R. (1994). Freshwater calving and anomalous glacier oscillations: recent behaviour of Moreno and Ameghino Glaciers, Patagonia. The Holocene, 4(4), 422-429.; Guerrido, C. M., Villalba, R., & Rojas, F. (2014). Documentary and tree-ring evidence for a long-term interval without ice impoundments from Glaciar Perito Moreno, Patagonia, Argentina. The Holocene, 24(12), 1686-1693.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Southern Andes,Patagonia,Chile,U-7,RGI60-17.15853,3.05,Cerro Largo,moraine,-73.26,-46.96,Soler,1989-03-16,,,,,,,,140.00,,,estimated using DEM data,20000.00,,,estimated - HEC-RAS 1D model,Three houses were destroyed and significant livestock losses occurred along Soler Valley.,x,x,3,,,,,,,,,"Burton et al. (2022): pre-GLOF area 1.93 million m2; post-GLOF area: 0,97 million m2",2000,"Burton, J. W., Chambers, F. B., Sincavage, R., & Cross, M. D. (2022). Analysis of glacial lake outburst flood terrain and sedimentary deposits in valle soler, Northern Patagonia Icefield. Physical Geography, 43(3), 333-349.; Hauser, A. (2000). Remociones en masa en Chile (versión actualizada). Servicio Nacional de Geología y Minería. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00342,﻿RGI60-16.00342,"﻿0,998",,moraine/bedrock,-72.88,-13.24,,,1989-06-16,1989-07-18,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02011,﻿RGI60-16.02011,"﻿0,148",,moraine,-77.22,-9.84,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,21962,,1990-09-12,Landsat 5,1990-09-12-00_00_1990-09-12-23_59_Landsat_4-5_TM_L2_False_color,2,10699,,1991-01-02,Landat 5,1991-01-02-00_00_1991-01-02-23_59_Landsat_4-5_TM_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
180,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02013,﻿RGI60-16.02013,"﻿0,092",,moraine,-77.22,-9.82,,,,1990,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no GLOF visible between 1989 and 1991,,,,,,,,,,,,,,,,,,,,
181,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02058,﻿RGI60-16.02058,"﻿0,852",Laguna Chuspicocha,moraine,-75.07,-11.90,,,1990-08-13,1991-02-05,breach,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,214743,,1990-08-13,Landsat 5,1990-08-13-00_00_1990-08-13-23_59_Landsat_4-5_TM_L2_False_color,2,123830,,1991-04-26,Landsat 5,1991-04-26-00_00_1991-04-26-23_59_Landsat_4-5_TM_L2_False_color,2,,,,,,,,,,,,,,,,,,,,,
182,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02358,RGI60-16.02358,2.74,Unnamed (Q. Cancaracá grande),moraine,-77.51,-9.17,,1998,1997-08-30,1998-05-29,breach,,,,,,,,,,,,,,,,,,,,,,,,,,2017,"Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Jenny Tamm (pers. Comm. 2021-10)",,17670,,1997-08-30,Landsat 5,1997-08-30-00_00_1997-08-30-23_59_Landsat_4-5_TM_L2_False_color,2,900,,1998-05-29,Landsat 5,1998-05-29-00_00_1998-05-29-23_59_Landsat_4-5_TM_L2_False_color,2,image after approximately 1 Landsat pixel,,,,,,,,,,,,,,,,,,,,
183,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02353,RGI60-16.02353,"﻿4,812",Lake 513,moraine/bedrock,-77.55,-9.21,,1991,,,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2012,"Carey, M., Huggel, C., Bury, J., Portocarrero, C., & Haeberli, W. (2012). An integrated socio-environmental framework for glacier hazard management and climate change adaptation: lessons from Lake 513, Cordillera Blanca, Peru. Climatic Change, 112(3-4), 733-767.; Vilímek, V., Klimeš, J., Emmer, A., & Benešová, M. (2015). Geomorphologic impacts of the glacial lake outburst flood from Lake No. 513 (Peru). Environmental Earth Sciences, 73(9), 5233-5244.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,229442,,1991-10-01,Landsat 5,1991-10-01-00_00_1991-10-01-23_59_Landsat_4-5_TM_L2_NDWI,2,211615,,1991-11-18,Landsat 5,1991-11-18-00_00_1991-11-18-23_59_Landsat_4-5_TM_L2_NDWI,2,Lake area did not change much,,,,,,,,,,,,,,,,,,,,
184,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01005,﻿RGI60-16.01005,"﻿0,496",,moraine/bedrock,-70.69,-13.73,,,1993-06-29,1994-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,rather likely no GLOF,,,,,,,,,,,,,,,,,,,,
185,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00318,﻿RGI60-16.00318,"﻿0,101",,moraine/bedrock,-72.94,-13.25,,,1993-06-27,1993-08-07,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,very likely no GLOF,,,,,,,,,,,,,,,,,,,,
186,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02922,﻿RGI60-16.02922,"﻿0,081",,bedrock,-76.32,-11.35,,,1996-08,1997-06,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,unclear whether that really a GLOF is,,,,,,,,,,,,,,,,,,,,
