10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
,17.336393165096368,3269,1,91.87094546371918,ice,42.207,79.846,2012,pos,120846.92560934702,1,4369.0,3,0,False,0.0,0.0
-8.511763301030268,,4762,1,8.642454136944618,moraine,36.027,73.196,2012,pos,57.692688519840445,1,4788.0,4,0,False,0.0,0.0
-36.26348340862874,1.985037409477767,3600,1,11.182868988317471,moraine,42.537,74.427,2012,pos,58.72800884139954,1,4075.0,3,0,False,0.0,0.0
3.77656539804538,,5093,1,19.248735467221262,ice,35.411,77.604,2013,pos,137158.2887612841,1,5845.0,4,0,False,0.0,0.0
-0.1389206458745074,,3860,1,0.0771592717680262,moraine,30.747,79.062,2013,pos,1954.5334152206617,1,4934.0,4,0,False,0.0,0.0
-0.990829129053992,1.2226902751356128,5014,1,36.375707114929895,moraine,30.473,93.534,2013,pos,1686.3667722534033,1,5566.0,3,0,False,0.0,0.0
-0.0287767803597997,,3363,1,0.071915776908725,ice,36.784,74.004,2013,pos,1337.1330924711394,1,4476.0,1,0,False,0.0,0.0
,7.210561188016527,3807,1,36.25304325784227,moraine,41.987,76.814,2013,pos,212.5302487563736,1,4093.0,2,0,False,0.0,0.0
-1.675440221889773,,4588,1,25.92528116766543,moraine,36.475,71.129,2013,pos,442.085281974219,1,4840.0,3,0,False,0.0,0.0
-1.0674038858141877,-0.9900557122758484,3864,1,3.248597955308114,moraine,30.531,94.944,2013,pos,1828.241039420278,1,4495.0,1,0,False,0.0,0.0
,8.109194357058037,3886,1,40.98195284388251,other,35.997,74.666,2014,pos,313.16153241370097,1,4158.0,3,0,False,0.0,0.0
,-11.665274508361486,5093,1,7.025220278733886,ice,35.411,77.604,2014,pos,397.4814279507064,1,5693.0,6,0,False,0.0,0.0
,0.4063630624101029,3374,1,2.621587048783638,ice,43.144,77.277,2014,pos,123.7876966489723,1,3766.0,3,1,False,0.0,0.0
