,Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
834,834,M(e),88.086,27.533,2019,36.8,4860,0,moraine,0,36.94777974548457,29.86093025421372,36.94777974549213,1.4173698982556815
835,835,E(c),88.083,27.437,2019,13.56,4280,0,other,0,9.244955766279665,0.15939592923277815,9.244955766281482,1.817111967409741
836,836,M(o),88.418,27.976,2019,16.35,5224,0,moraine,0,21.329525756613492,13.720692984220802,21.32952575660898,1.5217665544776355
837,837,M(o),88.422,27.974,2019,12.85,5185,0,moraine,0,18.795498449865853,13.720692984220802,18.795498449863565,1.0149610931285526
838,838,M(o),88.43,27.969,2019,14.31,4974,0,moraine,0,18.795498449865853,13.720692984220802,18.795498449863565,1.0149610931285526
839,839,M(o),88.355,27.951,2019,40.34,4989,0,moraine,0,55.68741842252895,53.46626621962309,55.6874184225254,0.444230440580462
840,840,M(e),88.305,27.949,2019,35.9,5049,0,moraine,0,51.40352081312575,49.57902363584814,51.403520813125176,0.3648994354554077
841,841,M(o),88.332,27.947,2019,60.49,5034,0,moraine,0,55.68741842252895,53.46626621962309,55.6874184225254,0.444230440580462
842,842,M(e),88.25,27.881,2019,14.4,5198,0,moraine,0,20.797852285225403,13.414394643445261,20.797852285220475,1.4766915283550428
843,843,M(e),88.249,27.822,2019,70.94,5414,0,moraine,0,16.51942629202283,10.004784625935873,16.51942629204375,1.3029283332215755
844,844,M(e),88.261,27.817,2019,12.31,5487,0,moraine,0,16.51942629202283,7.624483424002658,16.51942629204375,1.7789885736082183
845,845,E(c),88.484,27.759,2019,13.57,4467,0,other,0,87.65539026153198,23.046724837093997,87.65539026162371,12.921733084905942
846,846,E(o),88.453,27.723,2019,14.3,4199,0,other,0,23.13400859799578,5.245171286316378,23.13400859773615,3.577767462283954
847,847,M(e),88.376,27.678,2019,18.05,3915,0,moraine,0,47.71539418465402,6.839038702296371,47.715394180460564,8.175271095632839
848,848,M(e),88.545,27.992,2019,68.28,5161,0,moraine,0,64.22751918560637,58.756157774021254,64.22751918554535,1.0942722823048185
849,849,E(c),88.602,27.991,2019,10.11,4778,0,other,0,73.50469742081678,56.06937724522776,73.5046973987551,3.487064030705467
850,850,M(o),88.736,27.988,2019,10.61,5188,0,moraine,0,73.81674728647731,54.94509138428664,73.81674728647731,3.7743311804381334
851,851,M(e),88.508,27.982,2019,34.12,4917,0,moraine,0,36.795537810243665,25.37044761569485,36.795537810243665,2.285018038909763
852,852,M(e),88.616,27.975,2019,57.86,4960,0,moraine,0,96.3416731808828,56.06937724522776,96.3416731808828,8.054459187131005
853,853,E(o),88.593,27.971,2019,10.09,4748,0,other,0,54.87978112744135,56.06937724522776,54.87978112744135,-0.23791922355728304
854,854,E(o),88.743,27.962,2019,19.61,5065,0,other,0,21.416138035120365,13.642317249908476,21.416138035120365,1.5547641570423778
855,855,M(e),88.65,27.961,2019,18.36,4964,0,moraine,0,18.877324389349155,19.511850902441033,18.877324389349155,-0.12690530261837552
856,856,M(e),88.714,27.957,2019,26.39,5078,0,moraine,0,27.84091656524893,8.883880652867544,27.84091656524893,3.791407182476277
857,857,M(e),88.747,27.864,2019,18.95,5084,0,moraine,0,15.084500416291275,19.291300735656378,15.084500416291275,-0.8413600638730205
